numero,titre,annee
1,Yakari,1973
2,Yakari et le bison blanc,1976
3,Yakari chez les castors,1977
4,Yakari et Nanabozo,1978
5,Yakari et le grizzly,1979
6,Le secret de Petit Tonnerre,1981
7,Yakari et l'étranger,1982
8,Au pays des loups,1983
9,Les prisonniers de l'île,1983
10,Le grand terrier,1984
11,Yakari et la toison blanche,1985
12,Yakari et le coyote,1986
13,Les seigneurs des plaines,1987
14,Le vol des corbeaux,1988
15,La rivière de l'oubli,1989
16,Le premier galop,1990
17,Le monstre du lac,1991
18,L'oiseau de neige,1992
19,La barrière de feu,1993
20,Le diable des bois,1994
21,Le souffleur de nuages,1995
22,La fureur du ciel,1996
23,Yakari et les cornes fourchues,1997
24,Yakari et l'ours fantôme,1998
25,Le mystère de la falaise,1999
26,La vengeance du carcajou,2000
27,Yakari et Longues-oreilles,2001
28,Le chêne qui parlait,2002
29,Le réveil du géant,2003
30,Le marcheur de nuit,2004
31,Yakari et les Appaloosas,2005
32,Les griffes de l'ours,2006
33,Le marais de la peur,2007
34,Le retour du lapin magicien,2008
35,L'escapade de l'ourson,2009
36,Le lézard de l'ombre,2011
37,Le mangeur d'étoiles,2012
38,Yakari et la Tueuse des mers,2014
39,Le jour du silence,2016
40,L'Esprit des chevaux,2019
41,Le fils de l'aigle,2020
42,La colère de Thathanka,2022
